path,label
data/raw/AS/New_AS_067.wav,AS
data/raw/AS/New_AS_188.wav,AS
data/raw/AS/New_AS_102.wav,AS
data/raw/AS/New_AS_194.wav,AS
data/raw/AS/New_AS_112.wav,AS
data/raw/AS/New_AS_122.wav,AS
data/raw/AS/New_AS_014.wav,AS
data/raw/AS/New_AS_003.wav,AS
data/raw/AS/New_AS_065.wav,AS
data/raw/AS/New_AS_045.wav,AS
data/raw/AS/New_AS_137.wav,AS
data/raw/AS/New_AS_171.wav,AS
data/raw/AS/New_AS_129.wav,AS
data/raw/AS/New_AS_077.wav,AS
data/raw/AS/New_AS_159.wav,AS
data/raw/AS/New_AS_168.wav,AS
data/raw/AS/New_AS_046.wav,AS
data/raw/AS/New_AS_131.wav,AS
data/raw/AS/New_AS_031.wav,AS
data/raw/AS/New_AS_004.wav,AS
data/raw/AS/New_AS_160.wav,AS
data/raw/AS/New_AS_016.wav,AS
data/raw/AS/New_AS_043.wav,AS
data/raw/AS/New_AS_127.wav,AS
data/raw/AS/New_AS_187.wav,AS
data/raw/AS/New_AS_163.wav,AS
data/raw/AS/New_AS_048.wav,AS
data/raw/AS/New_AS_111.wav,AS
data/raw/AS/New_AS_006.wav,AS
data/raw/AS/New_AS_195.wav,AS
data/raw/AS/New_AS_038.wav,AS
data/raw/AS/New_AS_123.wav,AS
data/raw/AS/New_AS_013.wav,AS
data/raw/AS/New_AS_037.wav,AS
data/raw/AS/New_AS_154.wav,AS
data/raw/AS/New_AS_070.wav,AS
data/raw/AS/New_AS_062.wav,AS
data/raw/AS/New_AS_196.wav,AS
data/raw/AS/New_AS_033.wav,AS
data/raw/AS/New_AS_173.wav,AS
data/raw/AS/New_AS_172.wav,AS
data/raw/AS/New_AS_061.wav,AS
data/raw/AS/New_AS_011.wav,AS
data/raw/AS/New_AS_145.wav,AS
data/raw/AS/New_AS_161.wav,AS
data/raw/AS/New_AS_053.wav,AS
data/raw/AS/New_AS_126.wav,AS
data/raw/AS/New_AS_107.wav,AS
data/raw/AS/New_AS_074.wav,AS
data/raw/AS/New_AS_114.wav,AS
data/raw/AS/New_AS_106.wav,AS
data/raw/AS/New_AS_096.wav,AS
data/raw/AS/New_AS_104.wav,AS
data/raw/AS/New_AS_146.wav,AS
data/raw/AS/New_AS_044.wav,AS
data/raw/AS/New_AS_001.wav,AS
data/raw/AS/New_AS_162.wav,AS
data/raw/AS/New_AS_193.wav,AS
data/raw/AS/New_AS_017.wav,AS
data/raw/AS/New_AS_081.wav,AS
data/raw/AS/New_AS_103.wav,AS
data/raw/AS/New_AS_039.wav,AS
data/raw/AS/New_AS_157.wav,AS
data/raw/AS/New_AS_177.wav,AS
data/raw/AS/New_AS_136.wav,AS
data/raw/AS/New_AS_079.wav,AS
data/raw/AS/New_AS_116.wav,AS
data/raw/AS/New_AS_020.wav,AS
data/raw/AS/New_AS_015.wav,AS
data/raw/AS/New_AS_178.wav,AS
data/raw/AS/New_AS_147.wav,AS
data/raw/AS/New_AS_180.wav,AS
data/raw/AS/New_AS_066.wav,AS
data/raw/AS/New_AS_085.wav,AS
data/raw/AS/New_AS_166.wav,AS
data/raw/AS/New_AS_047.wav,AS
data/raw/AS/New_AS_105.wav,AS
data/raw/AS/New_AS_080.wav,AS
data/raw/AS/New_AS_055.wav,AS
data/raw/AS/New_AS_197.wav,AS
data/raw/AS/New_AS_086.wav,AS
data/raw/AS/New_AS_119.wav,AS
data/raw/AS/New_AS_110.wav,AS
data/raw/AS/New_AS_134.wav,AS
data/raw/AS/New_AS_143.wav,AS
data/raw/AS/New_AS_034.wav,AS
data/raw/AS/New_AS_019.wav,AS
data/raw/AS/New_AS_141.wav,AS
data/raw/AS/New_AS_124.wav,AS
data/raw/AS/New_AS_176.wav,AS
data/raw/AS/New_AS_064.wav,AS
data/raw/AS/New_AS_084.wav,AS
data/raw/AS/New_AS_149.wav,AS
data/raw/AS/New_AS_101.wav,AS
data/raw/AS/New_AS_156.wav,AS
data/raw/AS/New_AS_073.wav,AS
data/raw/AS/New_AS_028.wav,AS
data/raw/AS/New_AS_185.wav,AS
data/raw/AS/New_AS_113.wav,AS
data/raw/AS/New_AS_052.wav,AS
data/raw/AS/New_AS_175.wav,AS
data/raw/AS/New_AS_005.wav,AS
data/raw/AS/New_AS_030.wav,AS
data/raw/AS/New_AS_184.wav,AS
data/raw/AS/New_AS_100.wav,AS
data/raw/AS/New_AS_099.wav,AS
data/raw/AS/New_AS_132.wav,AS
data/raw/AS/New_AS_125.wav,AS
data/raw/AS/New_AS_199.wav,AS
data/raw/AS/New_AS_135.wav,AS
data/raw/AS/New_AS_179.wav,AS
data/raw/AS/New_AS_121.wav,AS
data/raw/AS/New_AS_035.wav,AS
data/raw/AS/New_AS_049.wav,AS
data/raw/AS/New_AS_170.wav,AS
data/raw/AS/New_AS_139.wav,AS
data/raw/AS/New_AS_150.wav,AS
data/raw/AS/New_AS_133.wav,AS
data/raw/AS/New_AS_128.wav,AS
data/raw/AS/New_AS_022.wav,AS
data/raw/AS/New_AS_082.wav,AS
data/raw/AS/New_AS_078.wav,AS
data/raw/AS/New_AS_010.wav,AS
data/raw/AS/New_AS_083.wav,AS
data/raw/AS/New_AS_165.wav,AS
data/raw/AS/New_AS_120.wav,AS
data/raw/AS/New_AS_090.wav,AS
data/raw/AS/New_AS_069.wav,AS
data/raw/MR/New_MR_077.wav,MR
data/raw/MR/New_MR_095.wav,MR
data/raw/MR/New_MR_153.wav,MR
data/raw/MR/New_MR_164.wav,MR
data/raw/MR/New_MR_129.wav,MR
data/raw/MR/New_MR_093.wav,MR
data/raw/MR/New_MR_166.wav,MR
data/raw/MR/New_MR_154.wav,MR
data/raw/MR/New_MR_134.wav,MR
data/raw/MR/New_MR_074.wav,MR
data/raw/MR/New_MR_102.wav,MR
data/raw/MR/New_MR_117.wav,MR
data/raw/MR/New_MR_039.wav,MR
data/raw/MR/New_MR_088.wav,MR
data/raw/MR/New_MR_023.wav,MR
data/raw/MR/New_MR_004.wav,MR
data/raw/MR/New_MR_044.wav,MR
data/raw/MR/New_MR_165.wav,MR
data/raw/MR/New_MR_100.wav,MR
data/raw/MR/New_MR_054.wav,MR
data/raw/MR/New_MR_135.wav,MR
data/raw/MR/New_MR_169.wav,MR
data/raw/MR/New_MR_015.wav,MR
data/raw/MR/New_MR_078.wav,MR
data/raw/MR/New_MR_010.wav,MR
data/raw/MR/New_MR_069.wav,MR
data/raw/MR/New_MR_193.wav,MR
data/raw/MR/New_MR_003.wav,MR
data/raw/MR/New_MR_029.wav,MR
data/raw/MR/New_MR_186.wav,MR
data/raw/MR/New_MR_083.wav,MR
data/raw/MR/New_MR_126.wav,MR
data/raw/MR/New_MR_051.wav,MR
